Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic,Companies
29,Minimum Window Substring,76,Hard,47.0,67.3,S,Hash Table/String/Sliding Window,Amazon;Google;Meta;Uber
30,Squares of a Sorted Array,977,Easy,73.6,67.3,S,Array/Two Pointers/Sorting,Amazon;Google;Meta;Uber
31,Longest Palindromic Substring,5,Medium,37.4,67.2,S,Two Pointers/String/DP,Amazon;Google;Meta;Uber
32,Product of Array Except Self,238,Medium,68.6,67.1,S,Array/Prefix Sum,Amazon;Google;Meta;Uber
33,Word Search,79,Medium,46.9,66.8,S,Array/String/Backtracking/Matrix,Amazon;Google;Meta;Uber
34,Generate Parentheses,22,Medium,78.3,65.9,S,String/DP/Backtracking,Amazon;Google;Meta;Uber
35,Subsets,78,Medium,82.1,65.7,S,Array/Backtracking/Bit Manipulation,Amazon;Google;Meta;Uber
36,Copy List with Random Pointer,138,Medium,62.4,65.6,S,Hash Table/Linked List,Amazon;Google;Meta;Uber
37,Binary Tree Right Side View,199,Medium,69.5,65.3,S,Tree/BFS/DFS,Amazon;Google;Meta;Uber
38,Maximum Subarray,53,Medium,53.0,65.2,S,Array/Divide&Conquer/DP,Amazon;Google;Meta;Uber
39,Palindrome Number,9,Easy,60.3,64.7,S,Math,Amazon;Google;Meta;Uber
40,Valid Palindrome,125,Easy,52.8,64.4,S,Two Pointers/String,Amazon;Google;Meta;Uber
41,Find First and Last Position of Element in Sorted Array,34,Medium,48.4,63.8,S,Array/Binary Search,Amazon;Google;Meta;Uber
42,Meeting Rooms II,253,Medium,52.6,63.4,S,Array/Two Pointers/Greedy/Sorting/Heap,Amazon;Google;Meta;Uber
43,Rotate Image,48,Medium,79.4,62.5,S,Array/Math/Matrix,Amazon;Google;Meta;Uber
44,Koko Eating Bananas,875,Medium,49.7,62.2,S,Array/Binary Search,Amazon;Google;Meta;Uber
45,Longest Consecutive Sequence,128,Medium,47.0,62.1,S,Array/Hash Table/Union Find,Amazon;Google;Meta;Uber
46,Reverse Integer,7,Medium,31.5,61.4,S,Math,Amazon;Google;Meta;Uber
47,Remove Duplicates from Sorted Array,26,Easy,62.3,61.3,S,Array/Two Pointers,Amazon;Google;Meta;Uber
48,Largest Rectangle in Histogram,84,Hard,49.4,60.7,S,Array/Stack/Monotonic Stack,Amazon;Google;Meta;Uber
49,Climbing Stairs,70,Easy,53.9,60.4,S,Math/DP/Memoization,Amazon;Google;Meta;Uber
50,Word Break,139,Medium,49.1,60.4,S,Hash Table/String/DP/Trie,Amazon;Google;Meta;Uber
51,Majority Element,169,Easy,66.1,59.5,S,Array/Hash Table/Divide&Conquer,Amazon;Google;Meta;Uber
52,String to Integer (atoi),8,Medium,20.6,59.5,S,String,Amazon;Google;Meta;Uber
53,Regular Expression Matching,10,Hard,30.5,59.3,S,String/DP/Recursion,Amazon;Google;Meta;Uber
54,Valid Sudoku,36,Medium,64.2,59.3,S,Array/Hash Table/Matrix,Amazon;Google;Meta;Uber
55,Find Median from Data Stream,295,Hard,54.2,59.2,S,Two Pointers/Design/Heap,Amazon;Google;Meta;Uber
56,Kth Smallest Element in a BST,230,Medium,76.5,59.1,S,Tree/DFS/BST,Amazon;Google;Meta;Uber
57,Basic Calculator II,227,Medium,46.7,58.1,S,Math/String/Stack,Amazon;Google;Meta;Uber
58,Clone Graph,133,Medium,64.7,57.4,S,Graph/DFS/BFS/Hash Table,Amazon;Google;Meta;Uber
59,Making A Large Island,827,Hard,56.3,57.4,S,Array/DFS/BFS/Union Find/Matrix,Amazon;Google;Meta;Uber
60,Reverse Linked List,206,Easy,80.3,57.3,S,Linked List/Recursion,Amazon;Google;Meta;Uber
61,Valid Palindrome II,680,Easy,44.0,56.9,S,Two Pointers/String/Greedy,Amazon;Google;Meta;Uber
62,House Robber,198,Medium,52.9,56.8,S,Array/DP,Amazon;Google;Meta;Uber
63,Alien Dictionary,269,Hard,37.1,56.7,S,Array/String/Graph/Topological Sort,Amazon;Google;Meta;Uber
64,Course Schedule II,210,Medium,55.0,56.3,S,Graph/DFS/BFS/Topological Sort,Amazon;Google;Meta;Uber
65,"Pow(x, n)",50,Medium,38.3,56.3,S,Math/Recursion,Amazon;Google;Meta
66,Lowest Common Ancestor of a Binary Tree,236,Medium,68.8,56.2,S,Tree/DFS,Amazon;Google;Meta
67,Simplify Path,71,Medium,50.0,55.6,S,String/Stack,Amazon;Google;Meta;Uber
68,Move Zeroes,283,Easy,63.6,55.3,S,Array/Two Pointers,Amazon;Google;Meta;Uber
69,Combination Sum,39,Medium,76.1,55.0,S,Array/Backtracking,Amazon;Google;Meta;Uber
70,Sudoku Solver,37,Hard,65.4,54.8,S,Array/Backtracking/Matrix,Amazon;Google;Meta;Uber
71,Sqrt(x),69,Easy,41.4,54.7,S,Math/Binary Search,Amazon;Google;Meta;Uber
72,Word Ladder,127,Hard,44.9,54.6,S,Hash Table/String/BFS,Amazon;Google;Meta;Uber
73,Recyclable and Low Fat Products,1757,Easy,88.7,54.1,S,Database,Amazon;Google;Meta;Uber
74,Binary Tree Maximum Path Sum,124,Hard,42.0,53.7,S,Tree/DFS/DP,Amazon;Google;Meta;Uber
75,Set Matrix Zeroes,73,Medium,62.5,53.3,S,Array/Hash Table/Matrix,Amazon;Google;Meta;Uber
76,Insert Delete GetRandom O(1),380,Medium,55.3,53.1,S,Array/Hash Table/Math/Design,Amazon;Google;Uber
77,Valid Anagram,242,Easy,67.8,52.9,S,Hash Table/String/Sorting,Amazon;Google;Uber
78,Merge Two Sorted Lists,21,Easy,68.0,52.8,S,Linked List/Recursion,Amazon;Google;Meta
79,Word Search II,212,Hard,38.1,52.5,S,Array/String/Backtracking/Trie/Matrix,Amazon;Google;Meta;Uber
80,Remove Element,27,Easy,61.4,52.2,A,Array/Two Pointers,Amazon;Google;Meta;Uber
81,Maximum Depth of Binary Tree,104,Easy,77.9,51.5,A,Tree/DFS/BFS,Amazon;Google;Meta;Uber
82,Permutations,46,Medium,81.7,51.5,A,Array/Backtracking,Amazon;Google;Meta;Uber
83,Diameter of Binary Tree,543,Easy,65.1,50.9,A,Tree/DFS,Amazon;Google;Meta
84,Rotting Oranges,994,Medium,58.2,50.5,A,Array/BFS/Matrix,Amazon;Google;Uber
85,Decode Ways,91,Medium,37.6,49.9,A,String/DP,Amazon;Google;Meta;Uber
86,Create Hello World Function,2667,Easy,82.0,49.1,A,JavaScript,Amazon;Google;Meta
87,Word Break II,140,Hard,55.1,48.9,A,Hash Table/String/DP/Backtracking/Trie,Amazon;Google;Meta;Uber
88,Max Consecutive Ones III,1004,Medium,67.3,48.7,A,Array/Binary Search/Sliding Window,Amazon;Google;Meta
89,Capacity To Ship Packages Within D Days,1011,Medium,73.5,48.3,A,Array/Binary Search,Amazon;Google;Meta;Uber
90,Remove Nth Node From End of List,19,Medium,51.0,48.2,A,Linked List/Two Pointers,Amazon;Google;Meta
91,Basic Calculator,224,Hard,46.6,48.1,A,Math/String/Stack/Recursion,Amazon;Google;Uber
92,Jump Game,55,Medium,40.5,47.9,A,Array/DP/Greedy,Amazon;Google;Meta
93,Reverse Nodes in k-Group,25,Hard,65.4,47.7,A,Linked List/Recursion,Amazon;Google;Meta;Uber
94,Sort Colors,75,Medium,69.2,47.7,A,Array/Two Pointers/Sorting,Amazon;Google;Meta
95,Insert Interval,57,Medium,44.8,47.5,A,Array,Amazon;Google;Meta;Uber
96,Accounts Merge,721,Medium,60.9,47.0,A,Array/Hash Table/String/Union Find/DFS,Amazon;Google;Meta;Uber
97,Coin Change,322,Medium,48.0,47.0,A,Array/DP/BFS,Amazon;Google;Uber
98,Evaluate Division,399,Medium,64.0,47.0,A,Graph/DFS/BFS/Union Find,Amazon;Google;Uber
99,Text Justification,68,Hard,50.5,46.6,A,Array/String/Simulation,Google;Meta;Uber
100,Min Stack,155,Medium,57.7,46.3,A,Stack/Design,Amazon;Google;Uber
101,Serialize and Deserialize Binary Tree,297,Hard,60.4,45.8,A,Tree/DFS/BFS/Design,Amazon;Google;Uber
102,Sliding Window Maximum,239,Hard,48.5,45.1,A,Array/Sliding Window/Heap/Monotonic Queue,Amazon;Google;Uber
103,Contains Duplicate,217,Easy,64.1,45.0,A,Array/Hash Table/Sorting,Amazon;Google;Meta;Uber
104,Rotate Array,189,Medium,44.5,44.9,A,Array/Math/Two Pointers,Amazon;Google;Meta
105,Remove Duplicates from Sorted Array II,80,Medium,64.3,44.6,A,Array/Two Pointers,Amazon;Google;Meta;Uber
106,Swap Nodes in Pairs,24,Medium,69.0,44.6,A,Linked List/Recursion,Amazon;Google;Meta;Uber
107,Validate Binary Search Tree,98,Medium,35.4,44.6,A,Tree/DFS/BST,Amazon;Google;Meta;Uber
108,Find the Index of the First Occurrence in a String,28,Easy,46.3,44.6,A,Two Pointers/String/String Matching,Amazon;Google;Meta
109,Happy Number,202,Easy,59.3,44.5,A,Hash Table/Math/Two Pointers,Amazon;Google;Uber
110,Unique Paths,62,Medium,66.6,44.5,A,Math/DP/Combinatorics,Amazon;Google;Meta
111,Plus One,66,Easy,49.6,44.4,A,Array/Math,Amazon;Google;Meta
112,4Sum,18,Medium,40.0,44.2,A,Array/Two Pointers/Sorting,Amazon;Google;Meta
113,Exclusive Time of Functions,636,Medium,66.1,44.0,A,Array/Stack,Google;Meta;Uber
114,Add Binary,67,Easy,57.7,43.8,A,Math/String/Bit Manipulation,Amazon;Google;Meta
115,K Closest Points to Origin,973,Medium,68.8,43.6,A,Array/Heap/Quickselect/Sorting,Amazon;Google;Meta
116,Longest Repeating Character Replacement,424,Medium,59.1,43.5,A,Hash Table/String/Sliding Window,Amazon;Google;Uber
117,N-Queens,51,Hard,75.0,43.4,A,Array/Backtracking,Amazon;Google;Meta
118,Asteroid Collision,735,Medium,47.2,43.0,A,Array/Stack,Amazon;Google;Uber
119,Find Minimum in Rotated Sorted Array,153,Medium,53.8,42.4,A,Array/Binary Search,Amazon;Google;Meta;Uber
120,Best Time to Buy and Sell Stock II,122,Medium,70.8,42.3,A,Array/DP/Greedy,Amazon;Google;Meta
121,Pascal's Triangle,118,Easy,78.7,42.3,A,Array/DP,Amazon;Google;Meta
122,Zigzag Conversion,6,Medium,53.6,42.2,A,String,Amazon;Google;Meta
123,Find K Closest Elements,658,Medium,49.4,42.0,A,Array/Two Pointers/Binary Search/Heap,Amazon;Google;Meta;Uber
124,Split Array Largest Sum,410,Hard,59.9,41.9,A,Array/Binary Search/DP,Amazon;Google;Uber
125,Search Insert Position,35,Easy,50.7,41.8,A,Array/Binary Search,Amazon;Google;Meta
126,First Missing Positive,41,Hard,42.5,41.7,A,Array/Hash Table,Amazon;Google;Meta
127,Search a 2D Matrix,74,Medium,53.6,41.2,A,Array/Binary Search/Matrix,Amazon;Google;Meta
128,Longest Valid Parentheses,32,Hard,38.1,40.8,A,String/DP/Stack,Amazon;Google;Meta;Uber
129,Two Sum II - Input Array Is Sorted,167,Medium,64.6,40.8,A,Array/Two Pointers/Binary Search,Amazon;Google;Meta
130,Construct Binary Tree from Preorder and Inorder Traversal,105,Medium,68.4,40.7,A,Array/Hash Table/Divide&Conquer/Tree,Amazon;Google;Meta;Uber
131,Minimum Path Sum,64,Medium,67.8,40.7,A,Array/DP/Matrix,Amazon;Google;Meta;Uber
132,Jump Game II,45,Medium,42.5,40.7,A,Array/DP/Greedy,Amazon;Google;Meta
133,Task Scheduler,621,Medium,62.7,40.6,A,Array/Hash Table/Greedy/Heap,Amazon;Google;Uber
134,3Sum Closest,16,Medium,48.1,40.5,A,Array/Two Pointers/Sorting,Amazon;Google;Meta
135,Binary Tree Level Order Traversal,102,Medium,72.2,40.5,A,Tree/BFS/Binary Tree,Amazon;Google;Meta
136,Decode String,394,Medium,62.3,40.3,A,String/Stack/Recursion,Amazon;Google;Meta
137,Single Number,136,Easy,77.4,40.3,A,Array/Bit Manipulation,Amazon;Google;Meta
138,Binary Tree Zigzag Level Order Traversal,103,Medium,63.2,40.2,A,Tree/BFS/Binary Tree,Amazon;Google;Meta
139,Candy,135,Hard,48.0,40.1,A,Array/Greedy,Amazon;Google;Uber
140,Top K Frequent Words,692,Medium,60.0,40.1,A,Hash Table/String/Trie/Heap/Sorting,Amazon;Google;Uber
141,Contains Duplicate II,219,Easy,50.8,39.7,A,Array/Hash Table/Sliding Window,Amazon;Google;Meta
142,House Robber III,337,Medium,55.6,39.3,A,Tree/DFS/DP,Amazon;Google;Uber
143,Group Shifted Strings,249,Medium,67.7,39.0,A,Array/Hash Table/String,Google;Meta;Uber
144,Lowest Common Ancestor of a Binary Tree III,1650,Medium,82.9,39.0,A,Tree/Hash Table,Amazon;Meta
145,Flood Fill,733,Easy,67.9,38.9,A,Array/DFS/BFS/Matrix,Amazon;Google;Uber
146,Bus Routes,815,Hard,47.1,38.7,A,Array/Hash Table/Breadth-First Search,Google;Uber
147,All Nodes Distance K in Binary Tree,863,Medium,67.4,38.2,A,Tree/DFS/BFS/Hash Table,Amazon;Google;Meta
148,Maximal Rectangle,85,Hard,58.1,38.1,A,Array/DP/Stack/Matrix,Amazon;Google;Meta
149,Next Greater Element I,496,Easy,75.8,38.1,A,Array/Hash Table/Stack/Monotonic Stack,Amazon;Google;Uber
150,LFU Cache,460,Hard,48.6,38.0,A,Hash Table/Linked List/Design,Amazon;Google;Uber
151,Longest Increasing Subsequence,300,Medium,59.1,37.8,A,Array/Binary Search/DP,Amazon;Google;Uber
152,Divide Two Integers,29,Medium,19.4,37.5,A,Math/Bit Manipulation,Amazon;Google;Meta
153,Number of Provinces,547,Medium,70.0,37.5,A,Graph/DFS/BFS/Union Find,Amazon;Google;Uber
154,Reverse Words in a String,151,Medium,55.6,37.4,A,Two Pointers/String,Amazon;Google;Meta
155,Edit Distance,72,Medium,60.2,37.2,A,String/DP,Amazon;Google;Meta
156,Diagonal Traverse,498,Medium,67.0,37.1,A,Array/Matrix/Simulation,Amazon;Google;Meta
157,Vertical Order Traversal of a Binary Tree,987,Hard,53.3,37.1,A,Tree/DFS/BFS/Hash Table,Amazon;Google;Meta
158,Rotate List,61,Medium,41.2,36.9,A,Linked List/Two Pointers,Amazon;Google;Meta
159,Count and Say,38,Medium,62.3,36.5,A,String,Amazon;Google;Meta
160,Shortest Path in Binary Matrix,1091,Medium,51.1,36.5,A,Array/BFS/Matrix,Google;Meta;Uber
161,Implement Trie (Prefix Tree),208,Medium,69.2,36.4,A,Hash Table/String/Design/Trie,Amazon;Google;Uber
162,Subsets II,90,Medium,60.9,36.3,A,Array/Backtracking/Bit Manipulation,Amazon;Google;Meta
163,Pacific Atlantic Water Flow,417,Medium,60.6,36.1,A,Array/DFS/BFS/Matrix,Amazon;Google;Uber
164,Next Greater Element II,503,Medium,67.9,36.0,A,Array/Stack/Monotonic Stack,Amazon;Google;Uber
165,Number of Islands II,305,Hard,40.4,36.0,A,Union-Find,Google;Uber
166,Linked List Cycle,141,Easy,53.9,35.8,A,Hash Table/Linked List/Two Pointers,Amazon;Google;Uber
167,Binary Tree Vertical Order Traversal,314,Medium,57.8,35.8,A,Tree/BFS,Google;Meta
168,String Compression,443,Medium,59.6,35.3,A,Two Pointers/String,Amazon;Google;Uber
169,Integer to Roman,12,Medium,70.5,35.1,A,Hash Table/Math/String,Amazon;Google;Meta
170,Length of Last Word,58,Easy,58.3,34.7,A,String,Amazon;Google;Meta
171,Kth Missing Positive Number,1539,Easy,63.2,34.5,A,Array/Binary Search,Google;Meta;Uber
172,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,1438,Medium,57.4,34.5,A,Array/Queue/Sliding Window,Google;Uber
173,Minimum Size Subarray Sum,209,Medium,51.1,34.4,A,Array/Binary Search/Sliding Window/Prefix Sum,Amazon;Google;Meta
174,Palindrome Partitioning,131,Medium,73.7,34.4,A,String/DP/Backtracking,Amazon;Google;Meta
175,Symmetric Tree,101,Easy,60.8,34.3,A,Tree/DFS/BFS,Amazon;Google;Meta
176,Isomorphic Strings,205,Easy,48.1,34.2,A,Hash Table/String,Amazon;Google;Uber
177,Same Tree,100,Easy,66.7,34.2,A,Tree/DFS/BFS,Amazon;Google;Meta
178,Search a 2D Matrix II,240,Medium,56.9,34.2,A,Array/Binary Search/Matrix/Divide&Conquer,Amazon;Google;Uber
179,Subarrays with K Different Integers,992,Hard,67.6,34.2,A,Array/Hash Table/Sliding Window,Amazon;Google;Uber
180,Count Primes,204,Medium,35.8,34.1,A,Array/Math/Number Theory,Amazon;Google;Uber
181,Cheapest Flights Within K Stops,787,Medium,41.4,33.9,A,Graph/DP/BFS/Shortest Path,Amazon;Google;Uber
182,Add Strings,415,Easy,52.1,33.8,A,Math/String/Simulation,Google;Meta;Uber
183,Reorganize String,767,Medium,56.8,33.8,A,Greedy/Heap/String,Amazon;Google
184,Reverse Linked List II,92,Medium,51.0,33.6,A,Linked List,Amazon;Google;Meta
185,Surrounded Regions,130,Medium,44.8,32.8,A,Array/DFS/BFS/Union Find/Matrix,Amazon;Google;Uber
186,Burst Balloons,312,Hard,63.0,32.7,A,Array/DP,Amazon;Google;Uber
187,Word Ladder II,126,Hard,27.5,32.6,A,Hash Table/String/BFS/Backtracking,Amazon;Google;Uber
188,Time Based Key-Value Store,981,Medium,49.7,32.0,A,Hash Table/String/Binary Search/Design,Amazon;Uber
189,Design Hit Counter,362,Medium,69.6,31.9,A,Design/Queue,Google;Uber
190,Single Element in a Sorted Array,540,Medium,59.2,31.9,A,Array/Binary Search,Amazon;Google
191,Fruit Into Baskets,904,Medium,50.5,30.9,A,Array/Hash Table/Sliding Window,Amazon;Google
192,Binary Search Tree Iterator,173,Medium,76.2,30.8,A,Stack/Tree/BST/Design,Google;Meta;Uber
193,Robot Room Cleaner,489,Hard,77.9,30.8,A,Backtracking/Interactive,Google;Meta;Uber
194,Palindrome Linked List,234,Easy,57.5,30.8,A,Linked List/Two Pointers/Stack,Amazon;Google
195,Balanced Binary Tree,110,Easy,57.9,30.6,A,Tree/DFS/Binary Tree,Amazon;Google;Meta
196,Swim in Rising Water,778,Hard,67.6,30.6,A,Array/Binary Search/DFS/BFS/Union Find/Heap,Google;Meta;Uber
197,My Calendar I,729,Medium,58.2,30.3,A,Array/Binary Search/Design/Ordered Set,Google;Uber
198,Concatenation of Array,1929,Easy,90.5,29.9,A,Array/Simulation,Amazon;Google
199,Daily Temperatures,739,Medium,68.4,29.9,A,Array/Stack/Monotonic Stack,Amazon;Google
200,Max Consecutive Ones,485,Easy,64.6,29.9,A,Array,Amazon;Google
201,Contiguous Array,525,Medium,50.8,29.8,A,Array/Hash Table/Prefix Sum,Amazon;Google;Uber
202,Maximum Product Subarray,152,Medium,36.0,29.7,A,Array/DP,Amazon;Google
203,Intersection of Two Arrays,349,Easy,77.5,29.3,A,Array/Hash Table/Two Pointers/Sorting,Amazon;Google
204,Find the Duplicate Number,287,Medium,64.0,28.9,A,Array/Two Pointers/Binary Search,Amazon;Google
205,Minimum Remove to Make Valid Parentheses,1249,Medium,71.3,28.9,A,String/Stack,Meta
206,Middle of the Linked List,876,Easy,81.6,28.8,A,Linked List/Two Pointers,Amazon;Google
207,Missing Number,268,Easy,71.7,28.8,A,Array/Hash Table/Math/Bit Manipulation,Amazon;Google
208,Frequency of the Most Frequent Element,1838,Medium,44.6,28.5,A,Array/Binary Search/Greedy/Sliding Window/Sorting,Google;Meta;Uber
209,Custom Sort String,791,Medium,72.3,28.4,A,Hash Table/String/Sorting,Meta;Uber
210,Partition Equal Subset Sum,416,Medium,49.2,28.2,A,Array/DP,Amazon;Google
211,First Unique Character in a String,387,Easy,65.1,28.0,A,Hash Table/String/Queue/Counting,Amazon;Google
212,Evaluate Reverse Polish Notation,150,Medium,57.1,27.8,A,Array/Math/Stack,Amazon;Google;Meta
213,Sum of Subarray Minimums,907,Medium,38.3,27.8,A,Array/DP/Stack/Monotonic Stack,Amazon;Google
214,Search in Rotated Sorted Array II,81,Medium,39.8,27.6,A,Array/Binary Search,Google;Meta;Uber
215,Sliding Window Median,480,Hard,38.9,27.6,A,Array/Heap/Sliding Window,Google;Meta
216,Valid Word Abbreviation,408,Easy,37.0,27.5,A,Two Pointers/String,Meta
217,Binary Search,704,Easy,60.5,27.3,A,Array/Binary Search,Amazon;Google
218,Gas Station,134,Medium,47.5,27.1,A,Array/Greedy,Amazon;Google
219,Peak Index in a Mountain Array,852,Medium,66.9,27.1,A,Array/Binary Search,Amazon;Google
220,Largest Number,179,Medium,42.6,26.9,B,Array/String/Greedy/Sorting,Amazon;Google
221,Check if Array Is Sorted and Rotated,1752,Easy,55.7,26.8,B,Array,Amazon;Google
222,Meeting Rooms III,2402,Hard,51.6,26.7,B,Array/Hash Table/Sorting/Heap,Google;Uber
223,Moving Average from Data Stream,346,Easy,80.2,26.7,B,Array/Design/Queue,Google;Meta
224,Reorder List,143,Medium,64.6,26.6,B,Linked List/Two Pointers/Stack/Recursion,Amazon;Google
225,Odd Even Linked List,328,Medium,62.3,26.5,B,Linked List,Amazon;Google
226,Add Two Integers,2235,Easy,87.9,26.2,B,Math,Google;Meta
227,Open the Lock,752,Medium,61.2,26.1,B,Array/Hash Table/String/BFS,Amazon;Uber
228,Analyze User Website Visit Pattern,1152,Medium,44.2,25.6,B,Array/Hash Table/Sorting,Amazon;Uber
229,Maximal Square,221,Medium,50.0,25.6,B,Array/DP/Matrix,Amazon;Google
230,Permutation in String,567,Medium,48.5,25.6,B,Hash Table/Two Pointers/String/Sliding Window,Amazon;Google
231,Reverse Pairs,493,Hard,33.7,25.5,B,Array/Binary Search/Divide&Conquer/Merge Sort,Amazon;Google
232,Reverse String,344,Easy,80.6,25.5,B,Two Pointers/String,Amazon;Google
233,Remove K Digits,402,Medium,36.4,25.3,B,String/Stack/Greedy/Monotonic Stack,Amazon;Google
234,Construct Quad Tree,427,Medium,78.5,25.3,B,Array/Divide and Conquer/Tree/Matrix,Uber
235,Find the Closest Palindrome,564,Hard,32.0,25.3,B,Math/String,Uber
236,Integer to English Words,273,Hard,34.8,25.2,B,Math/String/Recursion,Amazon;Google
237,Intersection of Two Linked Lists,160,Easy,63.2,25.2,B,Hash Table/Linked List/Two Pointers,Amazon;Google
238,Target Sum,494,Medium,51.9,25.2,B,Array/DP/Backtracking,Amazon;Google
239,Rotate String,796,Easy,65.1,25.0,B,String/String Matching,Amazon;Google
240,Multiply Strings,43,Medium,43.6,24.9,B,Math/String/Simulation,Google;Meta
241,Find K Pairs with Smallest Sums,373,Medium,41.6,24.7,B,Array/Heap,Google;Uber
242,Invert Binary Tree,226,Easy,79.8,24.6,B,Tree/DFS/BFS,Amazon;Google
243,Lowest Common Ancestor of a Binary Search Tree,235,Medium,70.1,24.4,B,Tree/DFS/BST,Amazon;Meta
244,Populating Next Right Pointers in Each Node,116,Medium,66.9,24.4,B,Linked List/Tree/BFS/DFS,Amazon;Meta
245,Sort List,148,Medium,63.9,24.4,B,Linked List/Two Pointers/Divide&Conquer/Merge Sort,Amazon;Google
246,The Earliest Moment When Everyone Become Friends,1101,Medium,65.9,24.4,B,Array/Union-Find/Sorting,Google;Uber
247,Majority Element II,229,Medium,55.8,24.1,B,Array/Hash Table/Sorting/Counting,Amazon;Google
248,Remove Duplicates from Sorted List,83,Easy,56.3,24.1,B,Linked List,Amazon;Google
249,Expression Add Operators,282,Hard,42.8,23.9,B,Math/String/Backtracking,Google;Meta
250,Minimum Number of Days to Make m Bouquets,1482,Medium,56.3,23.8,B,Array/Binary Search,Amazon;Google
251,Minimum Add to Make Parentheses Valid,921,Medium,74.4,23.6,B,String/Stack/Greedy,Google;Meta
252,Nested List Weight Sum,339,Medium,85.9,23.6,B,DFS/BFS,Meta
253,Is Subsequence,392,Easy,48.9,23.5,B,Two Pointers/String/DP,Amazon;Google
254,Online Stock Span,901,Medium,68.7,23.4,B,Stack/Design/Monotonic Stack,Amazon;Google
255,Delete Node in a BST,450,Medium,54.2,23.3,B,Tree/Binary Search Tree/Binary Tree,Google;Uber
256,Design Parking System,1603,Easy,87.2,23.3,B,Design/Simulation/Counting,Amazon;Uber
257,Regions Cut By Slashes,959,Medium,77.5,23.3,B,Array/Hash Table/DFS/Union-Find/Matrix,Google;Uber
258,Linked List Cycle II,142,Medium,57.3,23.2,B,Hash Table/Linked List/Two Pointers,Amazon;Google
259,Trapping Rain Water II,407,Hard,64.0,23.2,B,Array/Heap/BFS/Matrix,Amazon;Google
260,Sum Root to Leaf Numbers,129,Medium,69.6,23.2,B,Tree/DFS,Meta
