Topic,Problem,Rating,Difficulty Band,Tags,Link,Companies (pattern-relevant)
Greedy,Domino piling,800,Easy (800-1100),"greedy, math",https://codeforces.com/problemset/problem/50/A,"Google, Amazon, Uber, Apple"
Greedy,I Wanna Be the Guy,800,Easy (800-1100),"greedy, implementation",https://codeforces.com/problemset/problem/469/A,"Google, Amazon, Meta, Microsoft"
Greedy,Team,800,Easy (800-1100),"brute force, greedy",https://codeforces.com/problemset/problem/231/A,"Google, Amazon, Meta, Uber"
Math,Elephant,800,Easy (800-1100),math,https://codeforces.com/problemset/problem/617/A,"Google, Uber, Apple"
Math,Soldier and Bananas,800,Easy (800-1100),"brute force, implementation, math",https://codeforces.com/problemset/problem/546/A,"Google, Amazon, Meta, Microsoft"
Math,Watermelon,800,Easy (800-1100),"brute force, math",https://codeforces.com/problemset/problem/4/A,"Google, Amazon, Meta, Uber"
Number Theory,Again Twenty Five!,800,Easy (800-1100),number theory,https://codeforces.com/problemset/problem/630/A,"Google, Apple"
Number Theory,Carnival Wheel,800,Easy (800-1100),"brute force, number theory",https://codeforces.com/problemset/problem/2180/A,"Google, Amazon, Meta, Apple"
Number Theory,Factorise N+M,800,Easy (800-1100),"constructive algorithms, number theory",https://codeforces.com/problemset/problem/1740/A,"Google, Uber, Apple"
Constructive,Anton and Letters,800,Easy (800-1100),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/443/A,"Google, Amazon, Meta, Microsoft"
Constructive,Doremy's Paint 3,800,Easy (800-1100),constructive algorithms,https://codeforces.com/problemset/problem/1890/A,"Google, Uber"
Constructive,Queue at the School,800,Easy (800-1100),"constructive algorithms, graph matchings, implementation, shortest paths",https://codeforces.com/problemset/problem/266/B,"Google, Amazon, Meta, Microsoft"
Bitmasks,Not Quite Latin Square,800,Easy (800-1100),"bitmasks, brute force, implementation",https://codeforces.com/problemset/problem/1915/B,"Google, Amazon, Meta, Microsoft"
Bitmasks,Odd One Out,800,Easy (800-1100),"bitmasks, implementation",https://codeforces.com/problemset/problem/1915/A,"Google, Amazon, Meta, Microsoft"
Bitmasks,We Need the Zero,800,Easy (800-1100),"bitmasks, brute force",https://codeforces.com/problemset/problem/1805/A,"Google, Amazon, Meta"
Sorting,Jagged Swaps,800,Easy (800-1100),sortings,https://codeforces.com/problemset/problem/1896/A,"Amazon, Meta, Uber"
Sorting,Medium Number,800,Easy (800-1100),"implementation, sortings",https://codeforces.com/problemset/problem/1760/A,"Amazon, Meta, Microsoft, Uber"
Sorting,To My Critics,800,Easy (800-1100),"implementation, sortings",https://codeforces.com/problemset/problem/1850/A,"Amazon, Meta, Microsoft, Uber"
Implementation,Beautiful Matrix,800,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/263/A,"Amazon, Meta, Microsoft"
Implementation,Bit++,800,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/282/A,"Amazon, Meta, Microsoft"
Implementation,Next Round,800,Easy (800-1100),"*special, implementation",https://codeforces.com/problemset/problem/158/A,"Amazon, Meta, Microsoft"
Brute Force,Beautiful Year,800,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/271/A,"Amazon, Meta"
Brute Force,Games,800,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/268/A,"Amazon, Meta"
Brute Force,I_love_\%username\%,800,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/155/A,"Amazon, Meta"
Dynamic Programming,Kefa and First Steps,900,Easy (800-1100),"brute force, dp, implementation",https://codeforces.com/problemset/problem/580/A,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Make it Divisible by 25,900,Easy (800-1100),"dfs and similar, dp, greedy, math",https://codeforces.com/problemset/problem/1593/B,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,New Year's Number,900,Easy (800-1100),"brute force, dp, math",https://codeforces.com/problemset/problem/1475/B,"Google, Amazon, Meta, Microsoft"
Graphs,Metro,900,Easy (800-1100),graphs,https://codeforces.com/problemset/problem/1055/A,"Google, Amazon, Meta, Uber"
Graphs,Party,900,Easy (800-1100),"dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/115/A,"Google, Amazon, Meta, Microsoft"
Graphs,Protect Sheep,900,Easy (800-1100),"brute force, dfs and similar, graphs, implementation",https://codeforces.com/problemset/problem/948/A,"Google, Amazon, Meta, Microsoft"
Trees,Bmail Computer Network,900,Easy (800-1100),"*special, dfs and similar, trees",https://codeforces.com/problemset/problem/1057/A,"Google, Amazon, Meta, Microsoft"
Data Structures,Minimize Inversions,900,Easy (800-1100),"constructive algorithms, data structures, greedy, implementation, sortings",https://codeforces.com/problemset/problem/1918/B,"Google, Amazon, Meta, Microsoft"
Data Structures,Odd Queries,900,Easy (800-1100),"data structures, implementation",https://codeforces.com/problemset/problem/1807/D,"Google, Amazon, Meta, Microsoft"
Data Structures,Three Indices,900,Easy (800-1100),"brute force, data structures",https://codeforces.com/problemset/problem/1380/A,"Google, Amazon, Meta"
Binary Search,Cake Leveling,900,Easy (800-1100),"binary search, greedy, math",https://codeforces.com/problemset/problem/2232/B,"Google, Amazon, Meta, Uber"
Binary Search,Sushi for Two,900,Easy (800-1100),"binary search, greedy, implementation",https://codeforces.com/problemset/problem/1138/A,"Google, Amazon, Meta, Microsoft"
Two Pointers,AB Flipping,900,Easy (800-1100),"greedy, strings, two pointers",https://codeforces.com/problemset/problem/1896/B,"Google, Amazon, Meta, Uber"
Two Pointers,Game of Mathletes,900,Easy (800-1100),"games, greedy, sortings, two pointers",https://codeforces.com/problemset/problem/2060/C,"Google, Amazon, Meta, Uber"
Two Pointers,Like the Bitset,900,Easy (800-1100),"constructive algorithms, greedy, two pointers",https://codeforces.com/problemset/problem/2136/B,"Google, Amazon, Meta, Uber"
Strings,Chemistry,900,Easy (800-1100),strings,https://codeforces.com/problemset/problem/1883/B,"Google, Amazon, Meta"
Strings,Dubstep,900,Easy (800-1100),strings,https://codeforces.com/problemset/problem/208/A,"Google, Amazon, Meta"
Strings,Football,900,Easy (800-1100),"implementation, strings",https://codeforces.com/problemset/problem/96/A,"Google, Amazon, Meta, Microsoft"
Greedy,Gravity Flip,900,Easy (800-1100),"greedy, implementation, sortings",https://codeforces.com/problemset/problem/405/A,"Google, Amazon, Meta, Microsoft"
Greedy,Puzzles,900,Easy (800-1100),greedy,https://codeforces.com/problemset/problem/337/A,"Google, Amazon, Uber"
Greedy,Twins,900,Easy (800-1100),"greedy, sortings",https://codeforces.com/problemset/problem/160/A,"Google, Amazon, Meta, Uber"
Math,Even Odds,900,Easy (800-1100),math,https://codeforces.com/problemset/problem/318/A,"Google, Uber, Apple"
Math,"Multiply by 2, divide by 6",900,Easy (800-1100),math,https://codeforces.com/problemset/problem/1374/B,"Google, Uber, Apple"
Math,Odd Divisor,900,Easy (800-1100),"math, number theory",https://codeforces.com/problemset/problem/1475/A,"Google, Uber, Apple"
Number Theory,Almost Prime,900,Easy (800-1100),number theory,https://codeforces.com/problemset/problem/26/A,"Google, Apple"
Number Theory,Hexadecimal's theorem,900,Easy (800-1100),"brute force, constructive algorithms, implementation, number theory",https://codeforces.com/problemset/problem/199/A,"Google, Amazon, Meta, Microsoft"
Number Theory,Ilya and Bank Account,900,Easy (800-1100),"implementation, number theory",https://codeforces.com/problemset/problem/313/A,"Google, Amazon, Meta, Microsoft"
Constructive,Construct the String,900,Easy (800-1100),constructive algorithms,https://codeforces.com/problemset/problem/1335/B,"Google, Uber"
Constructive,Make It Zero,900,Easy (800-1100),constructive algorithms,https://codeforces.com/problemset/problem/1869/A,"Google, Uber"
Constructive,Oath of the Night's Watch,900,Easy (800-1100),"constructive algorithms, sortings",https://codeforces.com/problemset/problem/768/A,"Google, Amazon, Meta, Uber"
Bitmasks,ABC String,900,Easy (800-1100),"bitmasks, brute force, implementation",https://codeforces.com/problemset/problem/1494/A,"Google, Amazon, Meta, Microsoft"
Sorting,Heapify 1,900,Easy (800-1100),"implementation, sortings",https://codeforces.com/problemset/problem/2195/B,"Amazon, Meta, Microsoft, Uber"
Sorting,Is it rated?,900,Easy (800-1100),"implementation, sortings",https://codeforces.com/problemset/problem/807/A,"Amazon, Meta, Microsoft, Uber"
Sorting,Shifted MEX,900,Easy (800-1100),"implementation, sortings",https://codeforces.com/problemset/problem/2185/C,"Amazon, Meta, Microsoft, Uber"
Implementation,Game With Sticks,900,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/451/A,"Amazon, Meta, Microsoft"
Implementation,HQ9+,900,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/133/A,"Amazon, Meta, Microsoft"
Implementation,Keyboard,900,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/474/A,"Amazon, Meta, Microsoft"
Brute Force,Triangle,900,Easy (800-1100),"brute force, geometry",https://codeforces.com/problemset/problem/6/A,"Google, Amazon, Meta, Uber"
Dynamic Programming,Filling Shapes,1000,Easy (800-1100),"dp, math",https://codeforces.com/problemset/problem/1182/A,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Raspberries,1000,Easy (800-1100),"dp, math",https://codeforces.com/problemset/problem/1883/C,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Rudolf and 121,1000,Easy (800-1100),"brute force, dp, greedy, math",https://codeforces.com/problemset/problem/1941/B,"Google, Amazon, Meta, Microsoft"
Graphs,Badge,1000,Easy (800-1100),"brute force, dfs and similar, graphs",https://codeforces.com/problemset/problem/1020/B,"Google, Amazon, Meta, Uber"
Graphs,King Escape,1000,Easy (800-1100),"dfs and similar, graphs, implementation",https://codeforces.com/problemset/problem/1033/A,"Google, Amazon, Meta, Microsoft"
Graphs,New Year Transportation,1000,Easy (800-1100),"dfs and similar, graphs, implementation",https://codeforces.com/problemset/problem/500/A,"Google, Amazon, Meta, Microsoft"
Data Structures,Numeric String Template,1000,Easy (800-1100),"data structures, strings",https://codeforces.com/problemset/problem/2000/C,"Google, Amazon, Meta"
Data Structures,Prefix Min and Suffix Max,1000,Easy (800-1100),"brute force, data structures",https://codeforces.com/problemset/problem/2123/C,"Google, Amazon, Meta"
Data Structures,Progressive Square,1000,Easy (800-1100),"constructive algorithms, data structures, implementation, sortings",https://codeforces.com/problemset/problem/1955/B,"Google, Amazon, Meta, Microsoft"
Binary Search,Different Divisors,1000,Easy (800-1100),"binary search, constructive algorithms, greedy, math, number theory",https://codeforces.com/problemset/problem/1474/B,"Google, Amazon, Meta, Uber"
Binary Search,K-divisible Sum,1000,Easy (800-1100),"binary search, constructive algorithms, greedy, math",https://codeforces.com/problemset/problem/1476/A,"Google, Amazon, Meta, Uber"
Binary Search,Traffic Light,1000,Easy (800-1100),"binary search, implementation, two pointers",https://codeforces.com/problemset/problem/1744/C,"Google, Amazon, Meta, Microsoft"
Two Pointers,Black and White Stripe,1000,Easy (800-1100),"implementation, two pointers",https://codeforces.com/problemset/problem/1690/D,"Amazon, Meta, Microsoft"
Two Pointers,Shoe Shuffling,1000,Easy (800-1100),"constructive algorithms, greedy, implementation, two pointers",https://codeforces.com/problemset/problem/1691/B,"Google, Amazon, Meta, Microsoft"
Two Pointers,Ski Resort,1000,Easy (800-1100),"combinatorics, math, two pointers",https://codeforces.com/problemset/problem/1840/C,"Google, Amazon, Meta, Uber"
Strings,Chat room,1000,Easy (800-1100),"greedy, strings",https://codeforces.com/problemset/problem/58/A,"Google, Amazon, Meta, Uber"
Strings,String Task,1000,Easy (800-1100),"implementation, strings",https://codeforces.com/problemset/problem/118/A,"Google, Amazon, Meta, Microsoft"
Strings,cAPS lOCK,1000,Easy (800-1100),"implementation, strings",https://codeforces.com/problemset/problem/131/A,"Google, Amazon, Meta, Microsoft"
Greedy,Dragons,1000,Easy (800-1100),"greedy, sortings",https://codeforces.com/problemset/problem/230/A,"Google, Amazon, Meta, Uber"
Greedy,Monsters,1000,Easy (800-1100),"greedy, math, sortings",https://codeforces.com/problemset/problem/1849/B,"Google, Amazon, Meta, Uber"
Greedy,Road To Zero,1000,Easy (800-1100),"greedy, math",https://codeforces.com/problemset/problem/1342/A,"Google, Amazon, Uber, Apple"
Math,Expression,1000,Easy (800-1100),"brute force, math",https://codeforces.com/problemset/problem/479/A,"Google, Amazon, Meta, Uber"
Math,Theatre Square,1000,Easy (800-1100),math,https://codeforces.com/problemset/problem/1/A,"Google, Uber, Apple"
Math,Young Physicist,1000,Easy (800-1100),"implementation, math",https://codeforces.com/problemset/problem/69/A,"Google, Amazon, Meta, Microsoft"
Number Theory,Bad Ugly Numbers,1000,Easy (800-1100),"constructive algorithms, number theory",https://codeforces.com/problemset/problem/1326/A,"Google, Uber, Apple"
Number Theory,Lucky Division,1000,Easy (800-1100),"brute force, number theory",https://codeforces.com/problemset/problem/122/A,"Google, Amazon, Meta, Apple"
Number Theory,Multiplication Table,1000,Easy (800-1100),"implementation, number theory",https://codeforces.com/problemset/problem/577/A,"Google, Amazon, Meta, Microsoft"
Constructive,Bogosort,1000,Easy (800-1100),"constructive algorithms, sortings",https://codeforces.com/problemset/problem/1312/B,"Google, Amazon, Meta, Uber"
Constructive,Card Game,1000,Easy (800-1100),"brute force, constructive algorithms, implementation",https://codeforces.com/problemset/problem/1999/B,"Google, Amazon, Meta, Microsoft"
Constructive,Present from Lena,1000,Easy (800-1100),"constructive algorithms, implementation",https://codeforces.com/problemset/problem/118/B,"Google, Amazon, Meta, Microsoft"
Bitmasks,Raising Bacteria,1000,Easy (800-1100),bitmasks,https://codeforces.com/problemset/problem/579/A,"Google, Amazon"
Sorting,Currency System in Geraldion,1000,Easy (800-1100),"implementation, sortings",https://codeforces.com/problemset/problem/560/A,"Amazon, Meta, Microsoft, Uber"
Sorting,Minimum Extraction,1000,Easy (800-1100),"brute force, sortings",https://codeforces.com/problemset/problem/1607/C,"Amazon, Meta, Uber"
Sorting,Towers,1000,Easy (800-1100),sortings,https://codeforces.com/problemset/problem/37/A,"Amazon, Meta, Uber"
Implementation,Jzzhu and Children,1000,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/450/A,"Amazon, Meta, Microsoft"
Implementation,New Year Candles,1000,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/379/A,"Amazon, Meta, Microsoft"
Implementation,Xenia and Ringroad,1000,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/339/B,"Amazon, Meta, Microsoft"
Brute Force,ACM ICPC,1000,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/886/A,"Amazon, Meta"
Brute Force,Easy As ABC,1000,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/1906/A,"Amazon, Meta"
Brute Force,Spit Problem,1000,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/29/A,"Amazon, Meta"
Dynamic Programming,Fence,1100,Easy (800-1100),"brute force, dp",https://codeforces.com/problemset/problem/363/B,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Ilya and Queries,1100,Easy (800-1100),"dp, implementation",https://codeforces.com/problemset/problem/313/B,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Interesting drink,1100,Easy (800-1100),"binary search, dp, implementation",https://codeforces.com/problemset/problem/706/B,"Google, Amazon, Meta, Microsoft"
Graphs,Abraham's Great Escape,1100,Easy (800-1100),"constructive algorithms, graphs",https://codeforces.com/problemset/problem/2155/B,"Google, Amazon, Meta, Uber"
Graphs,The Lakes,1100,Easy (800-1100),"dfs and similar, dsu, graphs, implementation",https://codeforces.com/problemset/problem/1829/E,"Google, Amazon, Meta, Microsoft"
Graphs,Vicious Labyrinth,1100,Easy (800-1100),"constructive algorithms, graphs, greedy, implementation, math",https://codeforces.com/problemset/problem/2078/B,"Google, Amazon, Meta, Microsoft"
Trees,Begginer's Zelda,1100,Easy (800-1100),"greedy, trees",https://codeforces.com/problemset/problem/1905/B,"Google, Amazon, Meta, Microsoft"
Trees,Yet Another Card Deck,1100,Easy (800-1100),"brute force, data structures, implementation, trees",https://codeforces.com/problemset/problem/1511/C,"Google, Amazon, Meta, Microsoft"
Data Structures,A and B and Compilation Errors,1100,Easy (800-1100),"data structures, implementation, sortings",https://codeforces.com/problemset/problem/519/B,"Google, Amazon, Meta, Microsoft"
Data Structures,Bad Prices,1100,Easy (800-1100),"data structures, implementation",https://codeforces.com/problemset/problem/1213/B,"Google, Amazon, Meta, Microsoft"
Data Structures,Eating Candies,1100,Easy (800-1100),"binary search, data structures, greedy, two pointers",https://codeforces.com/problemset/problem/1669/F,"Google, Amazon, Meta, Uber"
Binary Search,Building an Aquarium,1100,Easy (800-1100),"binary search, sortings",https://codeforces.com/problemset/problem/1873/E,"Google, Amazon, Meta, Uber"
Binary Search,Sum of Cubes,1100,Easy (800-1100),"binary search, brute force, math",https://codeforces.com/problemset/problem/1490/C,"Google, Amazon, Meta, Uber"
Binary Search,Two Teams Composing,1100,Easy (800-1100),"binary search, greedy, implementation, sortings",https://codeforces.com/problemset/problem/1335/C,"Google, Amazon, Meta, Microsoft"
Two Pointers,Counting Orders,1100,Easy (800-1100),"combinatorics, math, sortings, two pointers",https://codeforces.com/problemset/problem/1827/A,"Google, Amazon, Meta, Uber"
Two Pointers,Maximum Sum,1100,Easy (800-1100),"brute force, sortings, two pointers",https://codeforces.com/problemset/problem/1832/B,"Amazon, Meta, Uber"
Two Pointers,Pair Programming,1100,Easy (800-1100),"greedy, two pointers",https://codeforces.com/problemset/problem/1547/C,"Google, Amazon, Meta, Uber"
Strings,Binary Period,1100,Easy (800-1100),"constructive algorithms, strings",https://codeforces.com/problemset/problem/1342/B,"Google, Amazon, Meta, Uber"
Strings,Slavic's Exam,1100,Easy (800-1100),"greedy, implementation, strings",https://codeforces.com/problemset/problem/1999/D,"Google, Amazon, Meta, Microsoft"
Strings,Yet Another Palindrome Problem,1100,Easy (800-1100),"brute force, strings",https://codeforces.com/problemset/problem/1324/B,"Google, Amazon, Meta"
Greedy,Quests,1100,Easy (800-1100),"greedy, math",https://codeforces.com/problemset/problem/1914/C,"Google, Amazon, Uber, Apple"
Greedy,Similar Pairs,1100,Easy (800-1100),"constructive algorithms, graph matchings, greedy, sortings",https://codeforces.com/problemset/problem/1360/C,"Google, Amazon, Meta, Uber"
Greedy,Taxi,1100,Easy (800-1100),"*special, greedy, implementation",https://codeforces.com/problemset/problem/158/B,"Google, Amazon, Meta, Microsoft"
Math,Fancy Fence,1100,Easy (800-1100),"geometry, implementation, math",https://codeforces.com/problemset/problem/270/A,"Google, Amazon, Meta, Microsoft"
Math,Paint the Array,1100,Easy (800-1100),math,https://codeforces.com/problemset/problem/1618/C,"Google, Uber, Apple"
Math,Sum of Odd Integers,1100,Easy (800-1100),math,https://codeforces.com/problemset/problem/1327/A,"Google, Uber, Apple"
Number Theory,250 Thousand Tons of TNT,1100,Easy (800-1100),"brute force, implementation, number theory",https://codeforces.com/problemset/problem/1899/B,"Google, Amazon, Meta, Microsoft"
Number Theory,Chaya Calendar,1100,Easy (800-1100),number theory,https://codeforces.com/problemset/problem/1932/B,"Google, Apple"
Number Theory,Make Array Good,1100,Easy (800-1100),"constructive algorithms, implementation, number theory, sortings",https://codeforces.com/problemset/problem/1762/B,"Google, Amazon, Meta, Microsoft"
Constructive,AND Sorting,1100,Easy (800-1100),"bitmasks, constructive algorithms, sortings",https://codeforces.com/problemset/problem/1682/B,"Google, Amazon, Meta, Uber"
Constructive,Array,1100,Easy (800-1100),"brute force, constructive algorithms, implementation",https://codeforces.com/problemset/problem/300/A,"Google, Amazon, Meta, Microsoft"
Constructive,Fedor and New Game,1100,Easy (800-1100),"bitmasks, brute force, constructive algorithms, implementation",https://codeforces.com/problemset/problem/467/B,"Google, Amazon, Meta, Microsoft"
Bitmasks,Tavas and SaDDas,1100,Easy (800-1100),"bitmasks, brute force, combinatorics, implementation",https://codeforces.com/problemset/problem/535/B,"Google, Amazon, Meta, Microsoft"
DFS/BFS,Game on Ranges,1100,Easy (800-1100),"brute force, dfs and similar, implementation, sortings",https://codeforces.com/problemset/problem/1623/B,"Google, Amazon, Meta, Microsoft"
Sorting,Laptops,1100,Easy (800-1100),sortings,https://codeforces.com/problemset/problem/456/A,"Amazon, Meta, Uber"
Sorting,Shifting Sort,1100,Easy (800-1100),"implementation, sortings",https://codeforces.com/problemset/problem/1579/B,"Amazon, Meta, Microsoft, Uber"
Sorting,Songs Compression,1100,Easy (800-1100),sortings,https://codeforces.com/problemset/problem/1015/C,"Amazon, Meta, Uber"
Implementation,Colorful Stamp,1100,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/1669/D,"Amazon, Meta, Microsoft"
Implementation,Effective Approach,1100,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/227/B,"Amazon, Meta, Microsoft"
Implementation,Initial Bet,1100,Easy (800-1100),implementation,https://codeforces.com/problemset/problem/478/A,"Amazon, Meta, Microsoft"
Brute Force,Far Relative’s Problem,1100,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/629/B,"Amazon, Meta"
Brute Force,Giga Tower,1100,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/488/A,"Amazon, Meta"
Brute Force,Pasha and Pixels,1100,Easy (800-1100),brute force,https://codeforces.com/problemset/problem/508/A,"Amazon, Meta"
Dynamic Programming,BerSU Ball,1200,Medium (1200-1500),"dfs and similar, dp, graph matchings, greedy, sortings, two pointers",https://codeforces.com/problemset/problem/489/B,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Flipping Game,1200,Medium (1200-1500),"brute force, dp, implementation",https://codeforces.com/problemset/problem/327/A,"Google, Amazon, Meta, Microsoft"
Dynamic Programming,Kuriyama Mirai's Stones,1200,Medium (1200-1500),"dp, implementation, sortings",https://codeforces.com/problemset/problem/433/B,"Google, Amazon, Meta, Microsoft"
Graphs,Ice Skating,1200,Medium (1200-1500),"brute force, dfs and similar, dsu, graphs",https://codeforces.com/problemset/problem/217/A,"Google, Amazon, Meta, Uber"
Graphs,Mocha and Hiking,1200,Medium (1200-1500),"constructive algorithms, graphs",https://codeforces.com/problemset/problem/1559/C,"Google, Amazon, Meta, Uber"
Graphs,Princesses and Princes,1200,Medium (1200-1500),"brute force, graphs, greedy",https://codeforces.com/problemset/problem/1327/B,"Google, Amazon, Meta, Uber"
Trees,Christmas Spruce,1200,Medium (1200-1500),"implementation, trees",https://codeforces.com/problemset/problem/913/B,"Google, Amazon, Meta, Microsoft"
Trees,Omkar and Heavenly Tree,1200,Medium (1200-1500),"constructive algorithms, trees",https://codeforces.com/problemset/problem/1583/B,"Google, Amazon, Meta, Microsoft"
Data Structures,Dora and Search,1200,Medium (1200-1500),"constructive algorithms, data structures, two pointers",https://codeforces.com/problemset/problem/1793/C,"Google, Amazon, Meta, Uber"
Data Structures,Matryoshkas,1200,Medium (1200-1500),"data structures, greedy, sortings",https://codeforces.com/problemset/problem/1790/D,"Google, Amazon, Meta, Uber"
Data Structures,Same Differences,1200,Medium (1200-1500),"data structures, hashing, math",https://codeforces.com/problemset/problem/1520/D,"Google, Amazon, Meta, Uber"
Binary Search,K-th Not Divisible by n,1200,Medium (1200-1500),"binary search, math",https://codeforces.com/problemset/problem/1352/C,"Google, Amazon, Meta, Uber"
Binary Search,Vanya and Lanterns,1200,Medium (1200-1500),"binary search, implementation, math, sortings",https://codeforces.com/problemset/problem/492/B,"Google, Amazon, Meta, Microsoft"
Binary Search,Worms,1200,Medium (1200-1500),"binary search, implementation",https://codeforces.com/problemset/problem/474/B,"Google, Amazon, Meta, Microsoft"
Two Pointers,Boats Competition,1200,Medium (1200-1500),"brute force, greedy, two pointers",https://codeforces.com/problemset/problem/1399/C,"Google, Amazon, Meta, Uber"
Two Pointers,Friends and the Restaurant,1200,Medium (1200-1500),"greedy, sortings, two pointers",https://codeforces.com/problemset/problem/1729/D,"Google, Amazon, Meta, Uber"
Two Pointers,Right Left Wrong,1200,Medium (1200-1500),"greedy, implementation, two pointers",https://codeforces.com/problemset/problem/2000/D,"Google, Amazon, Meta, Microsoft"
Strings,AccurateLee,1200,Medium (1200-1500),"greedy, implementation, strings",https://codeforces.com/problemset/problem/1369/B,"Google, Amazon, Meta, Microsoft"
Strings,Make Them Equal,1200,Medium (1200-1500),"brute force, greedy, math, strings",https://codeforces.com/problemset/problem/1594/C,"Google, Amazon, Meta, Uber"
Strings,Prinzessin der Verurteilung,1200,Medium (1200-1500),"brute force, constructive algorithms, strings",https://codeforces.com/problemset/problem/1536/B,"Google, Amazon, Meta, Uber"
Greedy,Assembly via Minimums,1200,Medium (1200-1500),"greedy, sortings",https://codeforces.com/problemset/problem/1857/C,"Google, Amazon, Meta, Uber"
Greedy,Chewbaсca and Number,1200,Medium (1200-1500),"greedy, implementation",https://codeforces.com/problemset/problem/514/A,"Google, Amazon, Meta, Microsoft"
Greedy,Contrast Value,1200,Medium (1200-1500),"greedy, implementation",https://codeforces.com/problemset/problem/1832/C,"Google, Amazon, Meta, Microsoft"
